"BIBTEXKEY","NOTE"
"TeachProgAcross_C01","C01_teaching-python"
"TeachProgAcross_C02","C02_genAI-before-during-after"
"TeachProgAcross_C03","C03_online-teaching-reflections"
"TeachProgAcross_C04","C04_computer-says-no"
"TeachProgAcross_C05","C05_coding-mindset"
"TeachProgAcross_C06","C06_feminists-and-anarchists"
"TeachProgAcross_C07","C07_teaching-C-to-novices"
"TeachProgAcross_C08","C08_AI-boom-or-bust"
"TeachProgAcross_C09","C09_debugging-beyond-the-debugger"
"TeachProgAcross_C10","C10_teaching-with-genAI"
"TeachProgAcross_C11","C11_sequential-vs-simultaneous"
"TeachProgAcross_C12","C12_pair-programming-overview"
"TeachProgAcross_C14","C14_foster-inclusion-and-accessibility"
"TeachProgAcross_C15","C15_programming-without-computers"
"TeachProgAcross_C16","C16_peer-programming"
"TeachProgAcross_C17","C17_coding-with-music"
"TeachProgAcross_C20","C20_automatic-marking"
"TeachProgAcross_C21","C21_programming-across-disciplines-usefulness"
"TeachProgAcross_C22","C22_interdisciplinary-by-design"
"TeachProgAcross_C23","C23_pair-programming-fusion"
"TeachProgAcross_C24","C24_lost-in-translation"
"TeachProgAcross_C26.1","C26.1-assessment-case-study"
"TeachProgAcross_C29","C29_notebooks-for-novices"
"TeachProgAcross_C31","C31_leveraging-the-heterogeneity"
"TeachProgAcross_C32","C32_civil-engineering"
"TeachProgAcross_C33","C33_coding-anxiety"
"TeachProgAcross_C34","C34_three-stars-one-wish"
"TeachProgAcross_C35","C35_action-feedback-plan"
"TeachProgAcross_C36","C36_pair-programming-across-disciplines"
"TeachProgAcross_C37","C37_pair-programming-sruc"
"TeachProgAcross_C38","C38_skills-based-assessment"
"TeachProgAcross_C39","C39_gentle-introduction-summer-school"
"TeachProgAcross_C40","C40_coding-forces.qmd"
"TeachProgAcross_C41","C41_pair-programming-tutor-reflections"
"TeachProgAcross_C43","C43-data-vis"
"TeachProgAcross_C44","C44_ai-voice-and-style-in-programming-education.qmd"
